"event","topic","question","options__001","options__002","options__003","options__004","answer","subtopic","difficulty","hint","explanation"
"Astronomy","Stellar Evolution","Which process occurs in massive stars after helium burning?","Carbon, neon, oxygen, and silicon fusion","Hydrogen fusion only","Proton-proton chain","Lithium burning","Carbon, neon, oxygen, and silicon fusion","","Hard","These stages build up an iron core.","Massive stars undergo sequential fusion of heavier elements until iron accumulates in the core, leading to supernova."
"Astronomy","Stellar Evolution","What is the Chandrasekhar limit?","Maximum mass of a stable white dwarf","Minimum mass for fusion","Limit of a neutron star","Maximum mass of a main sequence star","Maximum mass of a stable white dwarf","","Hard","Above this mass, electron degeneracy pressure can't support the star.","The Chandrasekhar limit is ~1.44 solar masses; beyond this, a white dwarf collapses into a neutron star or black hole."
"Astronomy","Stellar Evolution","Which type of supernova results from the collapse of a massive star's core?","Type II","Type Ia","Type Ib","Type Ic","Type II","","Medium","Occurs in stars with hydrogen in their outer layers.","Type II supernovae are core-collapse explosions of massive stars with hydrogen-rich envelopes."
"Astronomy","Stellar Evolution","Which star type is supported by electron degeneracy pressure?","White Dwarf","Neutron Star","Red Giant","Main Sequence Star","White Dwarf","","Medium","Its collapse is halted by quantum mechanical pressure of electrons.","White dwarfs are stabilized by electron degeneracy pressure against gravitational collapse."
"Astronomy","Stellar Evolution","What is a red supergiant?","A massive star in late evolutionary stage","A low-mass main sequence star","A white dwarf precursor","A young protostar","A massive star in late evolutionary stage","","Medium","These stars can explode as Type II supernovae.","Red supergiants are massive, evolved stars that have expanded and cooled after leaving the main sequence."
"Astronomy","Stellar Evolution","Which factor primarily controls the luminosity of a main-sequence star?","Mass","Age","Metallicity","Rotation","Mass","","Easy","More massive stars are brighter and hotter.","On the main sequence, a star’s luminosity strongly depends on its mass."
"Astronomy","Stellar Evolution","Which stars will never reach the red giant phase?","Brown dwarfs","Sun-like stars","Massive stars","White dwarfs","Brown dwarfs","","Medium","These objects do not sustain hydrogen fusion in their cores.","Brown dwarfs are too low in mass to ignite hydrogen fusion, so they do not evolve into red giants."
"Astronomy","Stellar Evolution","What is the end stage of a star with initial mass between 8 and 20 solar masses?","Neutron Star","White Dwarf","Black Hole","Red Giant","Neutron Star","","Medium","Electron degeneracy cannot support it, but neutron degeneracy can.","Stars with 8–20 solar masses undergo core-collapse supernovae, leaving behind neutron stars."
"Astronomy","Stellar Evolution","What is the main difference between Type Ia and Type II supernovae?","Progenitor system","Explosion brightness","Remnant type","All of the above","All of the above","","Hard","Consider how the progenitor and mechanism differ.","Type Ia supernovae come from white dwarfs in binaries, while Type II are massive star core collapses; they differ in brightness and remnants."
"Astronomy","Stellar Properties & Classification","What are the two primary properties plotted on an H-R diagram?","Luminosity vs Temperature","Mass vs Radius","Brightness vs Distance","Age vs Composition","Luminosity vs Temperature","","Easy","It’s used to classify stars and understand evolution.","The Hertzsprung-Russell diagram plots stellar luminosity against surface temperature to classify stars and track their evolutionary stages."
"Astronomy","Stellar Properties & Classification","Which spectral class represents the hottest stars?","O","B","A","M","O","","Easy","Recall the OBAFGKM sequence.","O-type stars are extremely hot and blue, with surface temperatures above 30,000 K."
"Astronomy","Stellar Properties & Classification","Which color corresponds to a G-type star?","Blue","White","Yellow","Red","Yellow","","Easy","The Sun is a G-type star.","G-type stars, like the Sun, are yellow and have surface temperatures around 5,500–6,000 K."
"Astronomy","Stellar Properties & Classification","What does the luminosity class I represent?","Supergiants","Giants","Main Sequence","White Dwarfs","Supergiants","","Medium","Think about the largest and most luminous stars.","Luminosity class I denotes supergiant stars with very high luminosity and large radii."
"Astronomy","Stellar Properties & Classification","Which property primarily determines a star’s position on the main sequence?","Mass","Metallicity","Age","Rotation","Mass","","Easy","Heavier stars are hotter and brighter.","Mass is the key factor determining a main-sequence star's temperature, luminosity, and lifespan."
"Astronomy","Stellar Properties & Classification","What type of star is Vega?","A0V","G2V","M5III","K1I","A0V","","Medium","Look at spectral class and luminosity class.","Vega is an A0 main-sequence star (A0V) with high surface temperature and white-blue color."
"Astronomy","Stellar Properties & Classification","Which spectral class has the coolest stars?","O","F","K","M","M","","Easy","Red stars are the coolest.","M-type stars are red and have the lowest surface temperatures (~2,400–3,700 K)."
"Astronomy","Stellar Properties & Classification","Which stars are classified as white dwarfs?","Very hot, dim stars","Cool, luminous giants","Red supergiants","Protostars","Very hot, dim stars","","Medium","Think about compact stellar remnants.","White dwarfs are hot but have low luminosity due to their small size, representing the final stage of low-mass stars."
"Astronomy","Stellar Properties & Classification","How is stellar mass generally estimated?","Using binary star orbits","From color alone","From spectral type only","From apparent brightness","Using binary star orbits","","Medium","Kepler’s laws help determine mass in binaries.","Stellar masses are most accurately measured in binary systems via orbital motion using Kepler’s laws."
"Astronomy","Stellar Properties & Classification","Which type of main-sequence star has the longest lifespan?","O-type","A-type","G-type","M-type","M-type","","Easy","Smaller stars burn fuel more slowly.","M-type red dwarfs are low-mass stars that burn hydrogen slowly, living for hundreds of billions of years."
"Astronomy","Stellar Properties & Classification","Which property affects both luminosity and temperature of a main-sequence star?","Mass","Metallicity","Magnetic field","Age","Mass","","Easy","Higher mass → higher core pressure and temperature.","The mass of a star determines its core pressure and temperature, affecting its luminosity and spectral class."
"Astronomy","Stellar Properties & Classification","A star with spectral type K and luminosity class III is:","Orange Giant","Red Dwarf","White Dwarf","Blue Main Sequence","Orange Giant","","Medium","Combine spectral class color with luminosity class size.","K-type stars are orange; class III indicates a giant, hence an orange giant."
"Astronomy","Stellar Properties & Classification","Which factor contributes to the color of a star?","Surface temperature","Distance","Age","Magnetic field","Surface temperature","","Easy","Hot stars are blue, cool stars are red.","The surface temperature of a star determines its color: hotter stars appear blue/white, cooler stars appear red/orange."
"Astronomy","Stellar Properties & Classification","Which unit is used to express stellar luminosity?","Solar luminosities (L☉)","Joules","Parsecs","Kelvin","Solar luminosities (L☉)","","Medium","Compare to the Sun’s output.","Stellar luminosity is often expressed in terms of the Sun’s luminosity (L☉) for comparison."
"Astronomy","Stellar Properties & Classification","Which star is hotter: an A0V star or a G2V star?","A0V","G2V","Both same","Cannot determine","A0V","","Easy","A comes before G in the OBAFGKM sequence.","A0V stars are hotter and more massive than G2V stars like the Sun."
"Astronomy","Stellar Properties & Classification","Which stars are considered main-sequence stars?","Stars fusing hydrogen in their cores","Stars fusing helium in shells","White dwarfs","Protostars","Stars fusing hydrogen in their cores","","Easy","The defining feature of main-sequence stars.","Main-sequence stars are defined by hydrogen fusion in their cores, which provides energy for stability."
"Astronomy","Stellar Properties & Classification","Which type of star would have the highest surface gravity?","White dwarf","Red giant","Main-sequence star","Supergiant","White dwarf","","Medium","Think of small radius with high mass.","White dwarfs are very compact, giving them extremely high surface gravity."
"Astronomy","Stellar Properties & Classification","Which type of star is often used as a standard candle for distance measurements?","Cepheid variable","Red dwarf","White dwarf","T Tauri star","Cepheid variable","","Medium","Its luminosity is related to its pulsation period.","Cepheid variables have a well-defined period-luminosity relationship, making them excellent standard candles."
"Astronomy","Stellar Properties & Classification","Which class of stars are blue, massive, and short-lived?","O-type main-sequence stars","M-type stars","K-type giants","G-type stars","O-type main-sequence stars","","Medium","These stars burn fuel quickly due to high mass.","O-type stars are extremely hot, massive, and have lifespans of only a few million years."
"Astronomy","Exoplanets & Planetary Science","Which method detects exoplanets by measuring a star's periodic wobble?","Transit method","Radial velocity method","Direct imaging","Microlensing","Radial velocity method","","Easy","Also called the Doppler method.","The radial velocity method detects variations in the star’s velocity due to gravitational pull from orbiting planets."
"Astronomy","Exoplanets & Planetary Science","The transit method measures exoplanets by:","Observing the star’s wobble","Detecting light dips as a planet passes in front","Measuring gravitational lensing","Capturing images directly","Detecting light dips as a planet passes in front","","Easy","Think of a planet eclipsing its star.","The transit method detects the small decrease in starlight when a planet passes between the star and observer."
"Astronomy","Exoplanets & Planetary Science","Which planet type is a 'hot Jupiter'?","A small rocky planet","A gas giant close to its star","A gas giant far from its star","An icy planet","A gas giant close to its star","","Medium","Think of Jupiter but extremely hot.","Hot Jupiters are gas giants similar to Jupiter but orbit very close to their host stars, resulting in high temperatures."
"Astronomy","Exoplanets & Planetary Science","Which property can be determined from a planet’s transit depth?","Mass","Radius","Distance","Composition","Radius","","Medium","The deeper the transit, the larger the planet.","The transit depth indicates the ratio of the planet's area to the star's area, allowing calculation of the planet's radius."
"Astronomy","Exoplanets & Planetary Science","Kepler’s Third Law relates which two quantities?","Orbital period and mass","Orbital period and distance","Radius and mass","Luminosity and temperature","Orbital period and distance","","Medium","P² ∝ a³.","Kepler’s Third Law shows that the square of a planet’s orbital period is proportional to the cube of the semi-major axis of its orbit."
"Astronomy","Exoplanets & Planetary Science","Which exoplanet type is likely rocky and Earth-like?","Gas giants","Hot Jupiters","Terrestrial planets","Ice giants","Terrestrial planets","","Easy","Small, dense, with solid surfaces.","Terrestrial planets are rocky and similar to Earth or Mars in composition and structure."
"Astronomy","Exoplanets & Planetary Science","Which phenomenon causes a planet to have a higher surface temperature than expected?","Greenhouse effect","Tidal locking","Magnetic field","Solar wind","Greenhouse effect","","Easy","Think CO₂ and methane trapping heat.","A planet’s atmosphere can trap infrared radiation, warming the surface beyond what would be expected from sunlight alone."
"Astronomy","Exoplanets & Planetary Science","Which property is most important for determining a planet's orbit?","Mass of the planet","Mass of the star","Radius of the planet","Composition of the planet","Mass of the star","","Medium","Heavier stars exert stronger gravitational pull.","The mass of the star primarily determines the orbital period and velocity of a planet according to Newton’s laws of gravitation."
"Astronomy","Exoplanets & Planetary Science","Which exoplanet is likely to have the longest orbital period?","Close-in hot Jupiter","Terrestrial planet in habitable zone","Gas giant far from star","Rogue planet","Gas giant far from star","","Medium","Farther planets orbit more slowly.","Planets farther from their star have longer orbital periods due to weaker gravitational pull and longer orbital paths."
"Astronomy","Exoplanets & Planetary Science","Which is a method for direct imaging of exoplanets?","Blocking starlight with coronagraph","Measuring radial velocity","Observing transits","Timing pulsars","Blocking starlight with coronagraph","","Hard","You need to reduce the star’s glare.","A coronagraph blocks the star’s light to allow faint light from orbiting planets to be observed directly."
"Astronomy","Exoplanets & Planetary Science","What is the habitable zone?","Region where liquid water can exist","Distance where stars are cold","Location of asteroid belts","Region of supernovae","Region where liquid water can exist","","Easy","Goldilocks zone.","The habitable zone around a star is where temperatures allow liquid water to exist on a planet’s surface."
"Astronomy","Exoplanets & Planetary Science","Which planet discovery method relies on gravitational lensing?","Transit method","Radial velocity","Microlensing","Direct imaging","Microlensing","","Hard","It uses background star light bending.","Microlensing detects planets by observing how a planet’s gravity bends light from a distant background star."
"Astronomy","Exoplanets & Planetary Science","What can a light curve tell us about a transiting exoplanet?","Orbital period and radius","Mass and composition","Temperature and rotation","Distance from Earth","Orbital period and radius","","Medium","Transit depth and timing are key.","The depth of the transit gives radius, and the time between transits gives orbital period."
"Astronomy","Exoplanets & Planetary Science","Which characteristic defines a gas giant?","Large, gaseous, low density","Small, rocky, high density","Icy, small","Close-in, hot","Large, gaseous, low density","","Easy","Think Jupiter and Saturn.","Gas giants are large planets composed mostly of hydrogen and helium with low overall density."
"Astronomy","Exoplanets & Planetary Science","Which exoplanets are called 'super-Earths'?","Planets larger than Earth but smaller than Neptune","Planets smaller than Earth","Gas giants","Rogue planets","Planets larger than Earth but smaller than Neptune","","Medium","Mass is higher than Earth but not massive like Jupiter.","Super-Earths are exoplanets with masses between Earth and Neptune, potentially rocky or gaseous."
"Astronomy","Exoplanets & Planetary Science","Which effect can increase the temperature of a tidally locked exoplanet?","Greenhouse effect","Magnetic field","Orbital resonance","Rotation rate","Greenhouse effect","","Medium","Heat trapped by atmosphere on the star-facing side.","Tidally locked planets with atmospheres can trap heat via the greenhouse effect, raising surface temperatures."
"Astronomy","Exoplanets & Planetary Science","What is a planet’s semi-major axis?","Average distance from its star","Orbital speed","Radius of the planet","Rotational period","Average distance from its star","","Medium","Kepler’s Third Law uses this value.","The semi-major axis is half the longest diameter of an elliptical orbit, representing the planet’s average distance from the star."
"Astronomy","Exoplanets & Planetary Science","Which planetary property can often be inferred from its density?","Composition","Rotation","Orbital period","Magnetic field","Composition","","Medium","Compare mass and radius.","Density helps distinguish rocky, gaseous, or icy planets based on their mass and radius."
"Astronomy","Stellar Evolution & Lifecycles","What is the primary factor that determines a star’s lifecycle?","Its rotation rate","Its chemical composition","Its initial mass","Its age","Its initial mass","","Easy","Think about what dictates how long a star lives and how it dies.","A star's initial mass determines its luminosity, lifespan, and final state (white dwarf, neutron star, or black hole)."
"Astronomy","Stellar Evolution & Lifecycles","Which phase comes after a main sequence star burns all its hydrogen in the core?","Red giant","White dwarf","Supernova","Protostar","Red giant","","Easy","The star expands and cools.","After hydrogen is depleted, the core contracts and the outer layers expand, forming a red giant."
"Astronomy","Stellar Evolution & Lifecycles","What is the final stage of a low-mass star like the Sun?","Neutron star","Black hole","White dwarf","Red supergiant","White dwarf","","Easy","It’s the remnant core left after outer layers are ejected.","Low-mass stars eject their outer layers as planetary nebulae, leaving behind a dense white dwarf."
"Astronomy","Stellar Evolution & Lifecycles","Which stellar remnants can result from a supernova of a massive star?","White dwarf","Neutron star","Black hole","Both B and C","Both B and C","","Medium","Depends on the star’s mass.","Massive stars end as neutron stars or black holes depending on the mass of the remaining core."
"Astronomy","Stellar Evolution & Lifecycles","During which process do stars convert hydrogen into helium in their cores?","Nuclear fission","Gravitational collapse","Nuclear fusion","Electron capture","Nuclear fusion","","Easy","This process releases energy powering the star.","Main sequence stars produce energy by fusing hydrogen into helium in their cores."
"Astronomy","Stellar Evolution & Lifecycles","What causes a star to become a supernova?","Core collapse after fusion ends","Excess rotation","Magnetic field interaction","Planetary collisions","Core collapse after fusion ends","","Medium","Massive stars explode when the core cannot support gravity.","When fusion ceases in a massive star, the core collapses, leading to a supernova explosion."
"Astronomy","Stellar Evolution & Lifecycles","Which type of star is fusing helium in its core?","Main sequence star","Red giant","White dwarf","Protostar","Red giant","","Medium","Hydrogen burning has ended in the core.","Red giants burn helium into carbon in their cores after exhausting hydrogen."
"Astronomy","Stellar Evolution & Lifecycles","What is a protostar?","A dying star","A star in formation","A neutron star","A black hole","A star in formation","","Easy","It hasn’t started fusion yet.","A protostar is a contracting cloud of gas and dust on its way to becoming a main sequence star."
"Astronomy","Stellar Evolution & Lifecycles","Which stage of stellar evolution produces planetary nebulae?","Main sequence","Red giant","White dwarf","Supernova","Red giant","","Medium","Outer layers are ejected.","Low- and intermediate-mass red giants shed their outer layers to form planetary nebulae."
"Astronomy","Stellar Evolution & Lifecycles","What determines whether a star becomes a neutron star or black hole?","Initial mass","Rotation speed","Composition","Location in galaxy","Initial mass","","Medium","The more massive the core, the denser the remnant.","Massive cores produce neutron stars or black holes after supernovae; lower-mass cores become white dwarfs."
"Astronomy","Stellar Evolution & Lifecycles","Which is the hottest and most massive main sequence star?","O-type","B-type","G-type","M-type","O-type","","Medium","Look at the OBAFGKM classification.","O-type stars are very hot, luminous, and massive compared to other main sequence stars."
"Astronomy","Stellar Evolution & Lifecycles","Which element is primarily produced during helium fusion in stars?","Hydrogen","Carbon","Oxygen","Iron","Carbon","","Medium","Triple-alpha process.","Helium nuclei fuse in the triple-alpha process to form carbon in stellar cores."
"Astronomy","Stellar Evolution & Lifecycles","What defines a white dwarf’s size?","Mass only","Electron degeneracy pressure","Temperature","Rotation","Electron degeneracy pressure","","Hard","Quantum mechanics prevents further collapse.","Electron degeneracy pressure balances gravity in white dwarfs, defining their compact size."
"Astronomy","Stellar Evolution & Lifecycles","Which stars undergo a helium flash?","Low-mass stars","High-mass stars","Protostars","White dwarfs","Low-mass stars","","Medium","Sudden ignition in degenerate cores.","Low-mass stars ignite helium explosively in their degenerate cores, called a helium flash."
"Astronomy","Stellar Evolution & Lifecycles","What is the Chandrasekhar limit?","Max mass of a neutron star","Max mass of a white dwarf","Min mass of a black hole","Max size of main sequence star","Max mass of a white dwarf","","Hard","About 1.4 solar masses.","White dwarfs above 1.4 solar masses cannot remain stable and collapse into neutron stars or black holes."
"Astronomy","Stellar Evolution & Lifecycles","Which phase is longest in a star's life?","Protostar","Main sequence","Red giant","Supernova","Main sequence","","Easy","Stars spend most of their lives burning hydrogen.","The main sequence phase is the longest, during which stars fuse hydrogen into helium."
"Astronomy","Stellar Evolution & Lifecycles","Which star type ends life in a core-collapse supernova?","High-mass stars","Low-mass stars","White dwarfs","Brown dwarfs","High-mass stars","","Medium","Think stars heavier than ~8 solar masses.","High-mass stars (>8 M☉) explode as supernovae after fusion ceases in their cores."
"Astronomy","Stellar Evolution & Lifecycles","What is the primary energy source for a protostar?","Gravitational collapse","Hydrogen fusion","Helium fusion","Nuclear fission","Gravitational collapse","","Easy","Energy comes from contraction, not fusion.","A protostar shines due to energy released as it contracts under gravity before fusion begins."
"Astronomy","Stellar Evolution & Lifecycles","Which element marks the end of fusion in massive stars before supernova?","Carbon","Neon","Iron","Oxygen","Iron","","Hard","Fusion of this element consumes energy rather than producing it.","Iron cannot release energy via fusion, leading to core collapse and supernova."
"Astronomy","Stars & Classification","What does the spectral type of a star primarily indicate?","Mass","Temperature","Distance","Age","Temperature","","Easy","Remember the OBAFGKM sequence.","Spectral types classify stars by surface temperature and color, with O being hottest and M being coolest."
"Astronomy","Stars & Classification","Which type of star is the hottest main sequence star?","O-type","B-type","G-type","M-type","O-type","","Medium","Check the OBAFGKM order.","O-type stars are very hot, massive, and luminous."
"Astronomy","Stars & Classification","Which type of star is the coolest and least massive?","O-type","B-type","G-type","M-type","M-type","","Medium","It appears red in color.","M-type stars are red dwarfs, the coolest and smallest main sequence stars."
"Astronomy","Stars & Classification","What does the luminosity class of a star indicate?","Size and brightness","Mass","Distance","Rotation","Size and brightness","","Medium","It differentiates giants from dwarfs.","Luminosity class (I-V) categorizes stars by size and intrinsic brightness."
"Astronomy","Stars & Classification","Which spectral type is the Sun classified as?","O","B","G","M","G","","Easy","It is a yellow star.","The Sun is a G-type main sequence star (G2V)."
"Astronomy","Stars & Classification","A star with high luminosity but low temperature is classified as?","Red giant","White dwarf","Blue giant","Main sequence","Red giant","","Medium","It’s bright but cool.","Red giants are luminous due to large size, but have cooler surface temperatures."
"Astronomy","Stars & Classification","What is the relationship between a star’s color and temperature?","Red is hotter","Blue is cooler","Blue is hotter","Color does not indicate temperature","Blue is hotter","","Easy","Think of the hottest stars.","Blue stars are hottest, while red stars are coolest."
"Astronomy","Stars & Classification","Which class of stars are known as dwarfs?","Luminosity class V","Luminosity class I","Luminosity class III","Luminosity class II","Luminosity class V","","Medium","Main sequence stars fall here.","Class V corresponds to main sequence (dwarf) stars."
"Astronomy","Stars & Classification","Which star type is nearing the end of its life and has expanded in size?","Red giant","White dwarf","Blue giant","Protostar","Red giant","","Medium","It’s post-main-sequence.","Stars expand into red giants when hydrogen is exhausted in their cores."
"Astronomy","Stars & Classification","Which stars are located on the main sequence of the H-R diagram?","Red giants","White dwarfs","Blue supergiants","Stars fusing hydrogen in cores","Stars fusing hydrogen in cores","","Easy","Think energy source.","Main sequence stars are stable, fusing hydrogen into helium in their cores."
"Astronomy","Stars & Classification","Which spectral type has the strongest hydrogen absorption lines?","O","B","A","M","A","","Medium","Check the Balmer series.","A-type stars show the strongest Balmer hydrogen lines."
"Astronomy","Stars & Classification","Which of these is not a luminosity class?","I","III","V","G","G","","Easy","Luminosity classes are Roman numerals.","G is a spectral type, not a luminosity class."
"Astronomy","Stars & Classification","Blue giants are usually of which spectral type?","O and B","A and F","G and K","M","O and B","","Medium","Hot, massive stars.","Blue giants are massive, luminous, and hot, usually spectral types O or B."
"Astronomy","Stars & Classification","Red dwarfs have which properties?","High mass and luminosity","Low mass and temperature","Blue in color","Explode as supernovae","Low mass and temperature","","Easy","Think of the most common stars in the Milky Way.","Red dwarfs are low-mass, cool, and faint stars, making them the most common type."
"Astronomy","Stars & Classification","Which property primarily determines a star’s color?","Mass","Temperature","Age","Luminosity","Temperature","","Easy","Hot stars appear blue, cool stars red.","Surface temperature determines the color of a star."
"Astronomy","Stars & Classification","Which of these stars is the most luminous?","O-type supergiant","G-type main sequence","M-type dwarf","B-type subgiant","O-type supergiant","","Medium","Luminosity depends on size and temperature.","O-type supergiants are extremely luminous due to high mass and temperature."
"Astronomy","Stars & Classification","Which sequence represents spectral types from hottest to coolest?","OBAFGKM","MKGFBAO","GKMABFO","ABFGKMO","OBAFGKM","","Easy","Mnemonic: Oh Be A Fine Girl/Guy Kiss Me.","The standard OBAFGKM sequence orders stars from hottest to coolest."
"Astronomy","Stars & Classification","Which type of star has ceased core hydrogen fusion?","Red giant","Main sequence","Blue dwarf","Protostar","Red giant","","Medium","It’s post-main sequence.","Red giants have exhausted hydrogen in the core and are fusing helium or heavier elements."
"Astronomy","Stars & Classification","Which property is not part of spectral classification?","Temperature","Luminosity","Chemical composition","Distance","Distance","","Easy","Spectral classification is intrinsic.","Spectral classification depends on temperature, luminosity, and composition, not distance."
"Astronomy","Exoplanets & Planetary Systems","What is a 'hot Jupiter'?","A small rocky planet close to its star","A gas giant close to its star","A gas giant far from its star","A planet still forming","A gas giant close to its star","","Medium","Name gives away its properties.","Hot Jupiters are gas giants similar to Jupiter but orbit very close to their host star."
"Astronomy","Exoplanets & Planetary Systems","Which method detects exoplanets by measuring star brightness dips?","Radial velocity","Transit photometry","Astrometry","Gravitational microlensing","Transit photometry","","Easy","Look for changes in light over time.","Transit photometry detects planets by observing the dip in brightness when a planet passes in front of its star."
"Astronomy","Exoplanets & Planetary Systems","The radial velocity method detects exoplanets by measuring?","Star wobble","Planet size","Transit duration","Planet atmosphere","Star wobble","","Medium","Doppler effect is used.","The star moves slightly due to gravitational pull from the planet, which causes measurable Doppler shifts in its spectrum."
"Astronomy","Exoplanets & Planetary Systems","Kepler’s Third Law relates which two quantities?","Star mass and planet radius","Orbital period and semi-major axis","Planet mass and distance","Star luminosity and temperature","Orbital period and semi-major axis","","Medium","P² = a³ for solar mass stars.","Kepler’s Third Law states that the square of the orbital period is proportional to the cube of the semi-major axis."
"Astronomy","Exoplanets & Planetary Systems","Which planet type is most likely to be detected using transit photometry?","Large close-in planets","Small distant planets","Small close-in planets","Gas giants far from star","Large close-in planets","","Easy","Biggest effect on brightness.","Large planets close to their stars block more light, making transits easier to detect."
"Astronomy","Exoplanets & Planetary Systems","Which detection method measures a star’s position changes in the sky due to orbiting planets?","Radial velocity","Transit photometry","Astrometry","Gravitational microlensing","Astrometry","","Medium","Precise positional shifts.","Astrometry measures tiny shifts in a star's position caused by gravitational pull of planets."
"Astronomy","Exoplanets & Planetary Systems","Gravitational microlensing detects exoplanets by?","Measuring star wobble","Observing brightness amplification of background star","Transit dips","Direct imaging","Observing brightness amplification of background star","","Hard","A lensing effect due to gravity.","A planet’s gravity bends light from a background star, temporarily brightening it."
"Astronomy","Exoplanets & Planetary Systems","What defines a planet as 'Earth-like'?","Size and composition similar to Earth","Orbiting far from star","Gas giant composition","No atmosphere","Size and composition similar to Earth","","Easy","Consider rocky planets.","Earth-like planets are rocky, with sizes and masses similar to Earth."
"Astronomy","Exoplanets & Planetary Systems","Which exoplanet was the first discovered around a Sun-like star?","51 Pegasi b","Kepler-22b","HD 209458 b","Proxima Centauri b","51 Pegasi b","","Medium","Discovered in 1995.","51 Pegasi b was the first exoplanet found orbiting a main-sequence star using radial velocity."
"Astronomy","Exoplanets & Planetary Systems","Which characteristic is common for a 'super-Earth' planet?","Mass between Earth and Neptune","Smaller than Mercury","Gas giant composition","Orbiting multiple stars","Mass between Earth and Neptune","","Medium","Not a gas giant, bigger than Earth.","Super-Earths have masses higher than Earth but less than Neptune, usually rocky."
"Astronomy","Exoplanets & Planetary Systems","A planet with high eccentricity has what kind of orbit?","Circular","Elliptical","Parabolic","Hyperbolic","Elliptical","","Medium","Distance varies along the orbit.","Eccentric orbits are elongated (elliptical) rather than circular."
"Astronomy","Exoplanets & Planetary Systems","Which type of planet is more likely to have a hydrogen-rich atmosphere?","Gas giants","Rocky planets","Ice dwarfs","Terrestrial planets","Gas giants","","Easy","Think Jupiter and Saturn.","Gas giants primarily consist of hydrogen and helium with thick atmospheres."
"Astronomy","Exoplanets & Planetary Systems","What is the habitable zone?","Region where liquid water can exist","Distance where planets are gas giants","Region with strong stellar winds","Region with no gravity","Region where liquid water can exist","","Easy","Also called the 'Goldilocks zone.'","The habitable zone is the orbital region around a star where temperatures allow liquid water to exist on a planet's surface."
"Astronomy","Exoplanets & Planetary Systems","Which property is measured in radial velocity method?","Star velocity along line of sight","Distance to planet","Planet radius","Transit duration","Star velocity along line of sight","","Medium","Uses Doppler shifts.","The radial velocity method detects the star's motion toward or away from Earth due to a planet's gravity."
"Astronomy","Exoplanets & Planetary Systems","Which property primarily determines a planet's surface temperature?","Distance from star","Mass","Rotation speed","Orbit shape","Distance from star","","Easy","Closer means hotter.","The planet's surface temperature depends mainly on its distance from the host star."
